,open,close,low,high,volume,money,high_limit,low_limit,avg,label
2007-10-30,5769.2,5897.19,5701.34,5899.65,5427882000.0,90650586733.0,6322.8,5173.2,5819.34,5954.77
2007-10-31,5984.71,5954.77,5871.48,6002.12,7102956400.0,119457835251.0,6486.91,5307.47,5942.108,5914.28
2007-11-01,5978.94,5914.28,5912.5,6005.13,6488510300.0,110768490998.0,6550.24,5359.29,5958.158,5777.81
2007-11-02,5812.47,5777.81,5740.4,5860.59,5954159600.0,106029856010.0,6505.71,5322.86,5801.932,5634.45
2007-11-05,5748.18,5634.45,5603.47,5787.23,6413259700.0,154901016955.0,6355.59,5200.03,5691.158,5536.57
2007-11-06,5593.35,5536.57,5510.16,5649.75,4506803900.0,83589505632.0,6197.9,5071.01,5577.08,5601.78
2007-11-07,5565.65,5601.78,5469.76,5610.95,4273032800.0,76304024265.0,6090.23,4982.91,5554.704,5330.02
2007-11-08,5559.15,5330.02,5328.2,5559.15,4892466200.0,83761375819.0,6161.96,5041.6,5440.828,5315.54
2007-11-09,5276.01,5315.54,5217.63,5382.7,4734126200.0,80762049341.0,5863.03,4797.02,5307.416,5187.73
2007-11-12,5181.18,5187.73,5032.58,5250.09,5258270300.0,87430687546.0,5847.09,4783.99,5155.966,5158.12
2007-11-13,5239.34,5158.12,5085.44,5311.7,4923731600.0,83044466204.0,5706.51,4668.96,5233.508,5412.69
2007-11-14,5246.57,5412.69,5165.06,5414.61,5099288000.0,88064090042.0,5673.93,4642.31,5289.572,5365.27
2007-11-15,5391.02,5365.27,5338.9,5453.74,4781941900.0,80951217498.0,5953.96,4871.42,5399.215,5316.27
2007-11-16,5273.08,5316.27,5224.31,5335.51,3738733100.0,61636813375.0,5901.79,4828.74,5285.038,5269.82
2007-11-19,5325.3,5269.82,5240.42,5333.09,4109773100.0,63156668426.0,5847.9,4784.65,5275.846,5293.7
2007-11-20,5230.74,5293.7,5158.54,5338.17,4905739800.0,79327370645.0,5796.8,4742.84,5242.286,5214.23
2007-11-21,5307.79,5214.23,5206.57,5344.93,4123160900.0,65960121678.0,5823.07,4764.33,5276.828,4984.16
2007-11-22,5113.88,4984.16,4969.89,5154.86,4037033000.0,64731749519.0,5735.65,4692.8,5072.36,5032.13
2007-11-23,4946.26,5032.13,4896.99,5034.23,3087296200.0,50207938676.0,5482.58,4485.74,4972.244,4958.85
2007-11-26,5102.53,4958.85,4952.43,5124.89,3675579700.0,60055135786.0,5535.34,4528.92,5047.781,4861.11
2007-11-27,4919.91,4861.11,4857.04,4947.08,3083386400.0,52767856410.0,5454.73,4462.96,4897.818,4803.39
2007-11-28,4870.84,4803.39,4778.73,4907.76,3275675700.0,53258090310.0,5347.22,4375.0,4840.18,5003.33
2007-11-29,4870.86,5003.33,4814.78,5011.19,5007154500.0,81196484473.0,5283.73,4323.05,4919.464,4871.78
2007-11-30,4993.74,4871.78,4861.86,4993.74,4331466200.0,70500393745.0,5503.67,4503.0,4918.466,4868.61
2007-12-03,4838.56,4868.61,4798.01,4899.67,5375077500.0,70035318108.0,5358.96,4384.6,4849.752,4915.89
2007-12-04,4882.15,4915.89,4882.15,4971.4,4283576600.0,60774976314.0,5355.47,4381.75,4927.463,5042.65
2007-12-05,4917.36,5042.65,4893.32,5052.75,5429978600.0,79741842419.0,5407.48,4424.3,4992.456,5035.07
2007-12-06,5055.84,5035.07,4995.47,5065.51,4315931100.0,64467198004.0,5546.92,4538.39,5032.089,5091.76
2007-12-07,5038.48,5091.76,5021.37,5096.8,4996157400.0,71663449290.0,5538.58,4531.57,5066.081,5161.92
2007-12-10,5010.83,5161.92,4990.72,5168.76,6881788900.0,107481990179.0,5600.93,4582.58,5118.727,5175.08
2007-12-11,5180.54,5175.08,5103.75,5209.7,6684842700.0,106437709230.0,5678.11,4645.73,5159.699,5095.54
2007-12-12,5148.25,5095.54,5054.56,5149.93,7215622700.0,112955426515.0,5692.58,4657.57,5099.554,4958.04
2007-12-13,5078.18,4958.04,4954.36,5095.15,6728332400.0,105088959321.0,5605.1,4585.99,5038.76,5007.91
2007-12-14,4899.75,5007.91,4860.16,5011.2,5305272700.0,81629334280.0,5453.85,4462.24,4928.391,4876.76
